max_array_rank,array_refs1,stmts,array_refs0,dbl_array_refs0,dbl_array_refs1,dbl_array_refs2,max_loop_depth,array_refs2,max_loop_level,ops,max_mergeable_arrays,lines_of_code,max_fusible_loops,fp_ops,branches,calls,bf2,bf1,bf0,indirect_array_refs2,indirect_array_refs1,indirect_array_refs0,judgment_M,proj,ver,path,sub,lnum,digest,nid,root_file
2,2,3,3,3,2,2,1,2,5,3,1,3,0,1,0,0,16.0000000000000000000,16.0000000000000000000,24.000000000000000000,0,0,0,NonKernel,numpy-vendor_git,9820ec7,atlas/src/lapack-lite-3.1.1/TESTING/LIN/slattb.f,slattb,206,MD5_8f3f40dbea23df2d0d9d6bd7098bb26f,8577,atlas/src/lapack-lite-3.1.1/TESTING/LIN/schkaa.f
2,2,32,5,5,2,2,2,2,5,15,1,59,1,10,5,14,1.6000000238418579102,1.6000000238418579102,4.000000000000000000,0,0,0,Kernel,numpy-vendor_git,9820ec7,atlas/src/lapack-lite-3.1.1/TESTING/LIN/crqt03.f,crqt03,141,MD5_f8c2a1ad291822a6cd1834bc0d86fe0d,40402,atlas/src/lapack-lite-3.1.1/TESTING/LIN/cchkaa.f
2,4,8,6,6,4,4,2,4,4,13,2,18,1,2,1,3,16.0000000000000000000,16.0000000000000000000,24.000000000000000000,0,0,0,Kernel,numpy-vendor_git,9820ec7,atlas/src/lapack-lite-3.1.1/SRC/dlasyf.f,dlasyf,542,MD5_9171aeca5467bbaeeb7fe19cbc37e78f,135601,atlas/src/lapack-lite-3.1.1/TESTING/LIN/dchkaa.f
2,4,14,8,8,4,4,3,4,8,7,2,15,1,6,1,0,5.3333334922790527344,5.3333334922790527344,10.666666984558105469,0,0,0,Kernel,ode-ampsim_git,9faa6c8,lib/flens/cxxblas/netlib/blas/dtrsm.f,dtrsm,228,MD5_0d602b054075c64b7a6f1589cd6fbd7a:MD5_e33d61080e9e6ef563f2e18245d0cc8c,10735,lib/flens/flens/blas/interface/test/dblat3.f
2,14,196,43,43,14,14,9,14,0,249,3,324,4,277,30,118,0.4043321311473846436,0.4043321311473846436,1.241877198219299316,0,0,0,Kernel,OG-Lapack_git,4a24271,TESTING/EIG/dget31.f,dget31,189,MD5_c4cdb1054dbde07cd7d54bd43e2e9e3e,110292,TESTING/EIG/dchkee.f
2,1,2,3,3,1,1,1,1,2,0,1,3,0,11,0,1,0.7272727489471435547,0.7272727489471435547,2.181818246841430664,0,0,0,NonKernel,oorb_git,0ec2651,classes/StochasticOrbit_class.f90,volumeofvariation,9296,MD5_13acd6e98033addec33896c4b5bfbdb8,4042,main/oorb.f90
4,4,5,4,4,4,4,4,4,1,1,2,9,1,1,0,0,32.0000000000000000000,32.0000000000000000000,32.000000000000000000,0,0,0,Kernel,open-fvs_git,ec493a7,fire/base/src/fmsoilheat.f,fmsoilheat,89,MD5_32c9c43369819dd932f2b67152dbacb2,37202,base/src/main.f
2,3,5,3,3,3,3,2,3,10,1,2,5,1,1,0,0,24.0000000000000000000,24.0000000000000000000,24.000000000000000000,0,0,0,Kernel,OpenBLAS_git,a96a4cb,lapack-netlib/SRC/zlascl.f,zlascl,291,MD5_72327fe1773a22c536af7c84b82db103:MD5_cc08fbb07c9666c87415a9dbe78b16a1,96450,lapack-netlib/TESTING/LIN/zchkaa.f
2,6,237,59,59,6,6,3,6,0,96,8,325,8,89,46,34,0.5393258333206176758,0.5393258333206176758,5.303370952606201172,0,0,3,Kernel,OpenBLAS_git,a96a4cb,lapack-netlib/TESTING/EIG/dget38.f,dget38,186,MD5_46dc7c6b6ff5d0461c8ad96c7d2fa9a2,98449,lapack-netlib/TESTING/EIG/dchkee.f
2,1,28,6,6,1,1,2,1,9,21,2,32,3,2,3,4,4.0000000000000000000,4.0000000000000000000,24.000000000000000000,0,0,0,Kernel,OpenBLAS_git,a96a4cb,ctest/c_cblat2.f,cmake,2874,MD5_53f74a0f20c09505e1df1370e88fe7d2:MD5_8fb7c70a4ed103a8bdb4c6454ecbe401,132221,ctest/c_cblat2.f
2,1,5,3,3,1,1,1,1,5,7,1,9,0,6,0,1,1.3333333730697631836,1.3333333730697631836,4.000000000000000000,0,0,0,Kernel,Perplex_git,7f830a1,source/olib.f,moduli,91,MD5_5ee64eeec7f0d09d0f646b87160bd8fd,8999,source/reader.f
1,2,12,11,11,2,2,1,2,0,9,3,14,0,126,0,7,0.1269841343164443970,0.1269841343164443970,0.698412716388702393,0,0,0,NonKernel,powerspec_git,b4491a8,fiber_collision/FFT-fkp-mock-dr11-v7p0-noweight_960grid.f,?,86,MD5_4040c493f00f3d03f8bb19a6c46e6d6b,390,fiber_collision/FFT-fkp-mock-dr11-v7p0-noweight_960grid.f
2,1,3,3,3,1,1,1,1,3,1,1,3,0,1,0,0,8.0000000000000000000,8.0000000000000000000,24.000000000000000000,0,0,0,Kernel,PROPACK_git,2465f89,complex8/Lapack_Util/slasd2.f,slasd2,240,MD5_b4f3bfbf151c1158cbc0570b1545fa31,4448,complex8/Examples/example.F
2,42,21,60,60,42,42,1,42,1,42,4,24,0,40,0,0,8.3999996185302734375,8.3999996185302734375,12.000000000000000000,0,0,0,NonKernel,pyavl_git,714c227,avl/src/amode.f,sysmat,922,MD5_0e5a38cc8fec1cf3ffc81b734a8211fa,669,avl/src/avl.f
2,2,11,5,5,2,2,2,2,3,6,4,12,1,3,1,0,5.3333334922790527344,5.3333334922790527344,13.333333015441894531,0,0,0,Kernel,PyFVS_git,6b84273,fire/ut/src/fmcfmd.f,fmcfmd,442,MD5_5390bf5f09ede65d455783010e61af20:MD5_716be3139e3c6ec48007cd6bd87ec100,39869,api/main.f90
2,1,6,4,4,1,1,1,1,3,3,3,4,0,1,2,0,8.0000000000000000000,8.0000000000000000000,32.000000000000000000,0,0,2,Kernel,PyFVS_git,6b84273,rd/src/rdsprd.f,rdsprd,217,MD5_794aec3df220b14e33cea6bd55872239,43373,api/main.f90
2,6,12,12,12,6,3,1,3,1,5,1,17,0,6,2,5,4.0000000000000000000,8.0000000000000000000,16.000000000000000000,0,0,0,Kernel,q-e_git,1f12d22,GWW/pw4gww/semicore.f90,semicore,47,MD5_3de976f7e4cba2143d742843dbbb5ab8,34168,GWW/pw4gww/pw4gww.f90
3,10,21,14,14,10,10,4,10,2,11,2,39,3,9,1,8,8.8888893127441406250,8.8888893127441406250,12.444444656372070312,0,0,0,Kernel,quantum-espresso_git,37def7f,PH/addnlcc.f90,addnlcc,81,MD5_c7a22117d51b285a24a1e14a54f2efdf,26130,PH/phonon.f90
2,2,4,2,2,2,2,2,2,1,3,2,7,1,5,0,2,3.2000000476837158203,3.2000000476837158203,3.200000047683715820,0,0,0,Kernel,saga5.5_git,7c99e8f,src/copy021014/mh.f,rotconv,530,MD5_9fded5e3e75e56c41fd29e66dc68e91f,18234,src/ga.f
